,0
0,0
1,0
2,0
3,2
4,1
5,2
6,0
7,6
8,3
9,7
10,2
11,3
12,0
13,1
14,4
15,1
16,0
17,0
18,1
19,0
20,3
21,2
22,1
23,6
24,6
25,2
26,5
27,1
28,3
29,9
30,1
31,3
32,7
33,4
34,2
35,12
36,20
37,4
38,4
39,11
40,7
41,9
42,10
43,9
44,9
45,13
46,22
47,87
48,36
49,146
50,62
51,41
52,176
53,176
54,176
55,82
56,71
57,176
58,176
59,176
60,176
61,176
62,176
63,176
64,176
65,176
66,176
67,176
68,176
69,176
70,176
71,176
72,176
73,176
74,176
75,176
76,176
77,176
78,176
79,176
80,176
81,176
82,176
83,176
84,176
85,176
86,176
87,176
88,176
89,176
90,176
91,176
92,176
93,176
94,176
95,176
96,176
97,176
98,176
99,176
100,176
101,176
102,176
103,176
104,176
105,176
106,176
107,176
108,176
109,176
110,176
111,176
112,176
113,176
114,176
115,176
116,176
117,176
118,176
119,176
120,176
121,176
122,176
123,176
124,176
125,176
126,176
127,176
128,176
129,176
130,176
131,176
132,176
133,176
134,176
135,176
136,176
137,176
138,176
139,176
140,176
141,176
142,176
143,176
144,176
145,176
146,176
147,176
148,176
149,176
