,0
0,1
1,1
2,7
3,2
4,1
5,4
6,2
7,3
8,2
9,4
10,27
11,1
12,1
13,3
14,2
15,1
16,3
17,3
18,5
19,4
20,6
21,12
22,5
23,176
24,176
25,78
26,176
27,22
28,16
29,21
30,11
31,17
32,176
33,176
34,10
35,176
36,176
37,176
38,51
39,176
40,176
41,176
42,46
43,20
44,176
45,57
46,176
47,153
48,50
49,121
50,176
51,176
52,176
53,176
54,176
55,176
56,176
57,176
58,111
59,176
60,130
61,176
62,176
63,176
64,176
65,176
66,176
67,165
68,176
69,176
70,176
71,176
72,176
73,176
74,176
75,176
76,176
77,176
78,176
79,176
80,176
81,176
82,176
83,176
84,176
85,176
86,176
87,176
88,176
89,176
90,176
91,176
92,176
93,176
94,176
95,176
96,176
97,176
98,176
99,176
100,176
101,176
102,176
103,176
104,176
105,176
106,176
107,176
108,176
109,176
110,176
111,176
112,176
113,176
114,176
115,176
116,176
117,176
118,176
119,176
120,176
121,176
122,176
123,176
124,176
125,176
126,176
127,176
128,176
129,176
130,176
131,176
132,176
133,176
134,176
135,176
136,176
137,176
138,176
139,176
140,176
141,176
142,176
143,176
144,176
145,176
146,176
147,176
148,176
149,176
